career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Educator,2.3,3.54,3.78,5.44,4.26,3.8,2,5,1,3,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Extremely,Masters,Arts/Humanities,Never,Mostly indoor,23-27,I love finding new ways to explain difficult concepts until they finally click,I would build a school that makes every student feel seen valued and truly capable,People say I have a rare gift for explaining complex ideas in very simple terms,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
Financial Analyst,2.26,4.41,2.08,3.8,4.95,5.75,4,3,2,2,Office,Large (20+),Low,Moderate,High salary,Data,Very,Pursuing,Commerce/Business,Basic,Strongly indoor,18-22,I love studying market trends and understanding the forces that drive economies,I would analyze global markets and write research that shapes investment decisions,I am known for my disciplined and methodical approach to every problem I face,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Doctor,4.36,6.02,1.38,6.12,1.51,4.71,3,5,1,2,Lab,Large (20+),Low,Moderate,Making impact,People,Somewhat,Pursuing,Science/Math,Never,Mostly indoor,18-22,I love solving complex diagnostic puzzles where every symptom is a clue to solve,I would run a free clinic in underserved communities providing quality healthcare,People say I remain calm and composed in high pressure emergency situations,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Educator,2.9,4.66,3.8,6.29,2.92,3.36,2,5,1,4,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Extremely,PhD,Arts/Humanities,Never,Mostly indoor,18-22,I enjoy designing curriculum and learning experiences that genuinely inspire curiosity,I would reform education systems to focus on creativity and critical thinking skills,I am known for my patience encouragement and belief in every single persons potential,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
Biotechnologist,5.14,7.0,2.32,2.29,2.22,3.68,5,1,5,2,Lab,Small (2-5),Medium,Slow and steady,Making impact,Physical things,Somewhat,Masters,Science/Math,Intermediate,Mostly indoor,23-27,I enjoy designing experiments that push the absolute boundaries of what living cells can do,I would create biodegradable materials that completely replace plastic in every product,I am known for my ability to connect fundamental biological principles to real world problems,102270,37400,Science | Reading Comprehension | Active Learning | Critical Thinking | Writing | Speaking | Mathematics | Active Listening
Software Engineer,3.44,6.34,2.42,1.63,2.33,5.81,5,3,4,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Very,Bachelors,Science/Math,Expert,Strongly indoor,28-35,I love automating repetitive tasks and making entire systems more efficient,I would build developer tools that make programming ten times faster,People always ask me to review their code and system architecture designs,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Psychologist,2.39,6.7,2.73,5.27,3.25,2.46,3,5,2,2,Flexible,Large (20+),Medium,Moderate,Making impact,People,Very,Masters,Arts/Humanities,Never,Mostly indoor,Under 18,I love designing research studies that reveal truths about human psychology,I would create therapy approaches that help people recover faster from trauma,Colleagues say I can build therapeutic rapport with clients unusually quickly,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Lawyer,1.01,4.56,2.05,3.4,4.91,4.43,1,5,2,2,Office,Large (20+),Low,Moderate,High salary,People,Very,Pursuing,Arts/Humanities,Never,Mostly indoor,28-35,I get excited by complex legal puzzles where the answer requires deep research,I would specialize in technology law as AI reshapes legal and ethical boundaries,Friends always ask me to help them understand contracts and complex legal documents,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Content Creator,1.93,3.03,4.89,3.48,4.17,6.15,3,5,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Not,Bachelors,Arts/Humanities,Never,Strongly indoor,23-27,I get excited by building an audience through content that genuinely helps real people,I would create documentary content that changes how people see very important issues,Friends say my writing voice is very distinctive and they can always recognize my work,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Environmental Scientist,4.15,7.0,1.54,3.61,1.88,4.29,4,4,4,2,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Extremely,Pursuing,Science/Math,Basic,Both equally,23-27,I love studying complex ecosystems and understanding how human activity deeply affects them,I would lead climate research that directly informs the most important global environmental policy,People say I have an extraordinary passion for the natural world and its urgent protection,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Educator,1.65,4.01,3.89,6.14,3.38,2.22,2,5,2,4,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Not,Bachelors,Arts/Humanities,Never,Mostly indoor,23-27,I love the challenge of reaching students who have struggled with traditional methods,I would mentor underprivileged youth and help them access world class education,Friends say I naturally take on a teaching role in every group I am ever part of,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
Lawyer,1.76,3.92,2.67,3.25,4.17,4.97,3,5,2,1,Office,Large (20+),Low,Moderate,High salary,People,Not,Pursuing,Arts/Humanities,Never,Mostly indoor,18-22,I enjoy the challenge of advocating for someone who cannot speak for themselves,I would become a judge who interprets laws with fairness and deep legal wisdom,I am known for my ability to research deeply and build completely airtight arguments,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Financial Analyst,2.51,4.86,2.08,2.56,3.68,5.78,4,4,1,3,Office,Large (20+),Low,Moderate,High salary,Data,Very,Pursuing,Commerce/Business,Basic,Strongly indoor,28-35,I enjoy assessing risk and making data driven investment decisions confidently,I would build financial literacy programs for people who never had access to them,Friends say I can explain complex financial concepts in a simple and clear way,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Content Creator,2.39,3.22,3.26,2.94,3.38,4.38,2,5,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Masters,Arts/Humanities,Never,Strongly indoor,18-22,I get excited by building an audience through content that genuinely helps real people,I would create documentary content that changes how people see very important issues,Friends say my writing voice is very distinctive and they can always recognize my work,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
UX Designer,1.64,3.75,6.42,4.18,2.8,2.34,3,3,4,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Somewhat,Masters,Arts/Humanities,Intermediate,Mostly indoor,23-27,I love observing how people interact with products and finding friction points,I would design accessibility tools that make technology usable for everyone,People say I have an exceptional ability to understand what others truly need,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Entrepreneur,2.82,2.44,2.09,3.51,7.0,6.29,2,3,3,3,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Very,Pursuing,Commerce/Business,Never,Both equally,Under 18,I love identifying gaps in the market and imagining products that could perfectly fill them,I would build a company that disrupts an entire industry and creates thousands of good jobs,People say I have an exceptional ability to sell ideas and inspire others to join my vision,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Research Scientist,3.67,7.0,3.37,1.41,3.25,5.14,4,3,4,2,Lab,Solo,Low,Slow and steady,Making impact,Data,Not,Bachelors,Science/Math,Intermediate,Mostly indoor,28-35,I love reading research papers and finding gaps that my own work could meaningfully fill,I would publish research that completely reshapes what humanity knows about the brain,Friends say I never accept a surface level answer and always need to dig much deeper,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
HR Manager,1.65,2.3,1.44,3.91,7.0,5.35,1,4,1,1,Office,Large (20+),Medium,Moderate,Job stability,People,Extremely,PhD,Commerce/Business,Never,Strongly indoor,23-27,I get excited by designing systems that make organizations genuinely fair and just,I would redesign hiring processes to completely eliminate bias and find true talent,Friends always ask me to help resolve conflicts because I am fair calm and very balanced,136350,185400,Management of Personnel Resources | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning | Writing
HR Manager,1.0,3.32,1.86,3.76,7.0,5.69,1,4,2,1,Office,Large (20+),Medium,Moderate,Job stability,People,Not,Masters,Commerce/Business,Never,Strongly indoor,23-27,I love the challenge of attracting and retaining exceptional talent for organizations,I would consult for organizations to build truly inclusive workplaces around the world,Colleagues say I can sense team dynamics and address issues before they ever escalate,136350,185400,Management of Personnel Resources | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning | Writing
Graphic Designer,4.26,3.11,6.84,2.83,3.37,4.47,3,2,2,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Pursuing,Arts/Humanities,Never,Strongly indoor,23-27,I enjoy the challenge of making complex information beautiful and digestible,I would create visual campaigns for social causes I deeply believe in,I am known for my ability to communicate emotions through visual elements,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Data Scientist,1.75,6.82,3.03,1.0,1.95,6.01,5,4,5,2,Remote,Small (2-5),Medium,Varies,High salary,Data,Not,Masters,Science/Math,Advanced,Strongly indoor,28-35,I love finding hidden patterns in large datasets that others completely miss,I would analyze global health data to predict and prevent disease outbreaks,People say I have an exceptional ability to find meaning in numbers and data,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Research Scientist,4.09,6.32,2.95,1.64,2.89,5.01,5,3,4,2,Lab,Solo,Low,Slow and steady,Making impact,Data,Extremely,Bachelors,Science/Math,Intermediate,Mostly indoor,23-27,I enjoy the challenge of designing experiments that eliminate all possible confounding factors,I would create a research institute where scientists work on only the hardest problems,People say I can design an elegant experiment that gets to the truth very efficiently,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Mechanical Engineer,5.76,6.06,1.56,1.32,1.2,4.2,5,2,4,1,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Very,Bachelors,Science/Math,Never,Both equally,23-27,I love designing physical systems and watching them actually work in the real world,I would design the next generation of electric vehicles that transform transportation,People say I have an exceptional ability to visualize exactly how physical systems work,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
UX Designer,2.53,3.97,4.92,4.88,2.88,2.48,2,3,4,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Very,Bachelors,Arts/Humanities,Intermediate,Mostly indoor,23-27,I love the process of wireframing prototyping and testing with real users,I would design the next generation of healthcare interfaces that save lives,I am known for my empathy and ability to think from the user perspective,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Lawyer,1.08,3.67,3.51,3.94,4.87,4.99,2,5,2,2,Office,Large (20+),Low,Moderate,High salary,People,Not,Masters,Arts/Humanities,Never,Mostly indoor,35+,I enjoy finding the one legal precedent that changes the outcome of an entire case,I would build a legal aid organization that gives everyone access to quality defense,Colleagues say I can find the strongest argument for any position extremely quickly,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Environmental Scientist,3.9,6.22,2.45,3.33,2.34,3.56,4,4,3,1,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Very,Bachelors,Science/Math,Basic,Both equally,18-22,I love studying complex ecosystems and understanding how human activity deeply affects them,I would lead climate research that directly informs the most important global environmental policy,People say I have an extraordinary passion for the natural world and its urgent protection,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
AI/ML Engineer,3.35,6.45,3.07,1.88,2.81,4.08,5,1,5,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Very,Masters,Science/Math,Expert,Strongly indoor,18-22,I enjoy training neural networks and pushing boundaries of what models can do,I would create AI tools that make education personalized for every student,My colleagues say I can implement complex research papers faster than anyone,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Entrepreneur,2.48,1.92,2.23,3.52,6.26,5.0,2,3,3,3,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Somewhat,Bachelors,Commerce/Business,Never,Both equally,18-22,I enjoy the challenge of severe resource constraints and finding very creative solutions fast,I would build a social enterprise that generates real profit and creates massive positive impact,I am known for my resilience and ability to bounce back much stronger after every setback,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Financial Analyst,3.19,4.73,2.15,2.7,5.04,5.83,5,3,2,2,Office,Large (20+),Low,Moderate,High salary,Data,Somewhat,Bachelors,Commerce/Business,Basic,Strongly indoor,23-27,I enjoy assessing risk and making data driven investment decisions confidently,I would build financial literacy programs for people who never had access to them,Friends say I can explain complex financial concepts in a simple and clear way,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Supply Chain Manager,3.05,4.01,1.0,2.52,4.51,5.97,4,4,4,2,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Extremely,Bachelors,Commerce/Business,Basic,Mostly indoor,28-35,I love the data driven side of logistics where every single decision has a very measurable impact,I would revolutionize last mile delivery to make it fast cheap and genuinely sustainable,Friends say I am the most thoroughly organized person they have ever known in every area of life,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Graphic Designer,3.42,3.06,6.74,1.22,3.94,4.2,3,3,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,PhD,Arts/Humanities,Never,Strongly indoor,23-27,I get excited when I transform a vague brief into a compelling visual story,I would design book covers and album art for my favorite artists and authors,Friends always ask me to design invitations logos and social media content,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Content Creator,1.2,2.4,3.7,2.84,3.58,3.69,1,4,1,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Bachelors,Arts/Humanities,Never,Strongly indoor,18-22,I enjoy the creative challenge of communicating complex ideas in very engaging formats,I would write a book series that helps young people navigate life with real confidence,I am known for my consistency and discipline in producing very high quality content,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Business Consultant,1.44,5.07,1.54,2.8,5.2,6.39,4,4,3,3,Office,Large (20+),High,Fast-paced,High salary,Ideas,Extremely,Pursuing,Commerce/Business,Never,Mostly indoor,23-27,I enjoy finding the one change in an organization that unlocks dramatic performance improvement,I would build a consultancy that only works with companies creating genuine positive impact,People say I can build trust with senior executives and influence them without any formal authority,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Content Creator,1.28,3.06,4.34,2.88,3.59,4.2,2,4,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Bachelors,Arts/Humanities,Never,Strongly indoor,35+,I enjoy the puzzle of making educational content feel entertaining and completely irresistible,I would create a content platform that gives a voice to stories that are never heard,People say I can make any topic feel fascinating and worth sharing with everyone,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Environmental Scientist,4.86,5.73,2.07,5.04,1.2,4.59,3,3,3,2,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Very,Pursuing,Science/Math,Basic,Both equally,28-35,I enjoy designing monitoring systems that detect environmental change before it becomes crisis,I would create nature based solutions that fight climate change while restoring biodiversity,People say I can find practical environmental solutions that work within real world constraints,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Marketing Manager,1.0,2.68,2.27,1.96,7.0,5.12,2,4,1,3,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Very,Masters,Commerce/Business,Basic,Mostly indoor,18-22,I enjoy finding the one insight about customers that changes everything about strategy,I would build a community around a brand so strong it markets itself organically,People say I can write copy that makes people feel understood and compelled to act,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Research Scientist,3.52,6.3,3.42,1.95,3.57,3.93,5,3,4,2,Lab,Solo,Low,Slow and steady,Making impact,Data,Extremely,Masters,Science/Math,Intermediate,Mostly indoor,23-27,I love asking questions that nobody has answered yet and designing experiments,I would run a lab researching cures for diseases that still have absolutely no treatment,People say I have an extraordinary ability to focus deeply and intensely for very long periods,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Psychologist,2.06,5.8,2.72,5.51,3.43,3.71,2,4,2,3,Flexible,Large (20+),Medium,Moderate,Making impact,People,Somewhat,Bachelors,Arts/Humanities,Never,Mostly indoor,23-27,I feel fulfilled when I help someone break through a mental barrier holding them back,I would write books that help people understand and genuinely improve their mental health,People say I can read emotions and sense how someone is feeling without any words,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Entrepreneur,2.74,2.09,1.37,3.06,6.52,5.15,1,1,2,3,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Very,Pursuing,Commerce/Business,Never,Both equally,23-27,I get excited by building something from nothing and growing it through sheer persistent effort,I would start multiple ventures across different domains I am genuinely passionate about,Friends say I turn every single problem I encounter into a potential business opportunity,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
AI/ML Engineer,3.07,6.35,1.95,2.6,3.72,3.18,5,1,4,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Very,PhD,Science/Math,Expert,Strongly indoor,Under 18,I love building systems that learn and improve from experience over time,I would build AI systems that accelerate scientific discovery across every field,People say I have an exceptional ability to combine math and engineering thinking,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Civil Engineer,6.9,5.36,2.5,1.0,1.95,4.87,5,2,5,1,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Very,Pursuing,Science/Math,Never,Both equally,23-27,I love the challenge of building in very difficult environments with severe constraints,I would lead construction of the most ambitious infrastructure project ever attempted,Colleagues say my structural calculations are always the most thorough on any team,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Architect,4.3,5.66,4.22,2.29,3.18,3.94,3,2,3,4,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Extremely,Bachelors,Mixed,Never,Both equally,28-35,I enjoy finding creative solutions when budget and structural limitations conflict,I would create buildings that use zero energy and still feel warm and beautiful,People say I can communicate spatial ideas through drawings that anyone can understand,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Business Consultant,2.49,5.64,1.49,2.6,4.84,5.97,4,5,1,2,Office,Large (20+),High,Fast-paced,High salary,Ideas,Extremely,Pursuing,Commerce/Business,Never,Mostly indoor,23-27,I get excited by the variety of industries and complex problems I get to work on each month,I would specialize in digital transformation and help traditional companies genuinely evolve,Colleagues say my slide decks and presentations are always the clearest in every single room,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
AI/ML Engineer,4.47,7.0,2.89,1.62,3.57,3.97,5,3,5,1,Remote,Small (2-5),High,Fast-paced,High salary,Data,Extremely,Pursuing,Science/Math,Expert,Strongly indoor,Under 18,I enjoy optimizing model performance and reducing inference latency at scale,I would run an AI research lab working on problems that matter most to society,People say I have remarkable intuition for which ML approach will work best,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Content Creator,2.24,3.45,3.69,2.69,4.16,4.4,1,4,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Pursuing,Arts/Humanities,Never,Strongly indoor,18-22,I love experimenting with different content formats to see what truly resonates deeply,I would build the largest educational channel in my subject area anywhere in the world,Colleagues say I have an instinct for what audiences want even before they know it,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Cybersecurity Analyst,3.92,6.38,1.2,1.8,3.4,7.0,4,2,4,2,Office,Solo,High,Fast-paced,High salary,Data,Somewhat,Bachelors,Mixed,Advanced,Strongly indoor,18-22,I enjoy reverse engineering malware and understanding how attacks work internally,I would develop open source security tools used by defenders worldwide,I am known for staying calm and methodical when systems are under active attack,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
UX Designer,2.41,4.09,5.19,5.02,2.15,3.42,2,3,3,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Not,HighSchool,Arts/Humanities,Intermediate,Mostly indoor,18-22,I enjoy conducting user research and translating insights into better designs,I would run a design studio focused on human centered product design globally,Friends always ask me to review apps and websites before they launch them,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Marketing Manager,1.26,2.3,3.09,3.62,7.0,4.79,1,4,1,4,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Not,Bachelors,Commerce/Business,Basic,Mostly indoor,23-27,I enjoy combining creativity and data to build campaigns that actually convert,I would start a creative agency that tells powerful brand stories worldwide,I am known for my creativity and ability to spot emerging trends before anyone else,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Data Scientist,2.86,6.83,2.45,1.53,1.64,4.73,5,3,4,3,Remote,Small (2-5),Medium,Varies,High salary,Data,Extremely,PhD,Science/Math,Advanced,Strongly indoor,23-27,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
UX Designer,2.7,4.95,5.66,4.37,3.1,2.29,1,4,4,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Extremely,Bachelors,Arts/Humanities,Intermediate,Mostly indoor,18-22,I enjoy finding the gap between what users say they want and what they need,I would build design systems that make great UX the default not the exception,People say I can facilitate user research sessions that reveal deep insights,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Civil Engineer,6.01,5.23,3.02,1.79,2.3,5.38,5,2,5,2,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Very,Bachelors,Science/Math,Never,Both equally,28-35,I get excited by large scale construction challenges that require truly creative solutions,I would build flood resistant cities that protect communities from severe climate change,Friends say I can look at a construction site and immediately see what is wrong,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Mechanical Engineer,6.38,5.42,2.04,1.62,1.76,5.01,5,1,5,2,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Somewhat,Masters,Science/Math,Never,Both equally,23-27,I enjoy analyzing why a mechanical system failed and redesigning it to be stronger,I would create renewable energy systems that make fossil fuels completely obsolete,People say I have an unusual ability to understand how things break before they do,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Psychologist,1.6,5.81,3.81,6.28,2.81,4.32,2,4,1,2,Flexible,Large (20+),Medium,Moderate,Making impact,People,Somewhat,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I get deeply engaged when helping someone untangle complex emotional patterns,I would research the psychology of happiness and what makes humans truly flourish,Friends always come to me with their personal problems and emotional struggles,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
UX Designer,2.79,2.54,5.28,4.56,3.34,3.42,1,4,3,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Very,Masters,Arts/Humanities,Intermediate,Mostly indoor,18-22,I love the process of wireframing prototyping and testing with real users,I would design the next generation of healthcare interfaces that save lives,I am known for my empathy and ability to think from the user perspective,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Architect,4.35,4.66,3.82,3.22,2.94,5.21,3,3,3,4,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Not,Pursuing,Mixed,Never,Both equally,28-35,I love designing spaces that bring communities together and serve real human needs,I would build schools and hospitals in developing regions that inspire their users,My peers say I can see the complete picture while still managing every small detail,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Marketing Manager,1.0,2.8,1.84,3.49,7.0,5.08,2,4,1,3,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Very,Bachelors,Commerce/Business,Basic,Mostly indoor,23-27,I love the puzzle of understanding an audience and speaking directly to their needs,I would use marketing to promote social causes and drive real lasting change,My colleagues say I can build genuine connections with almost anyone I meet,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Financial Analyst,3.09,4.57,2.79,3.2,3.92,4.91,5,4,1,1,Office,Large (20+),Low,Moderate,High salary,Data,Very,PhD,Commerce/Business,Basic,Strongly indoor,23-27,I love studying market trends and understanding the forces that drive economies,I would analyze global markets and write research that shapes investment decisions,I am known for my disciplined and methodical approach to every problem I face,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Lawyer,1.0,4.88,2.23,2.77,5.05,3.99,2,5,2,1,Office,Large (20+),Low,Moderate,High salary,People,Extremely,Masters,Arts/Humanities,Never,Mostly indoor,23-27,I love constructing logical arguments and finding flaws in opposing positions,I would run a public interest law firm fighting for human rights and social justice,People say I am an exceptionally persuasive and logically structured communicator,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Psychologist,2.62,6.15,3.42,6.71,3.0,3.99,2,4,2,3,Flexible,Large (20+),Medium,Moderate,Making impact,People,Somewhat,Pursuing,Arts/Humanities,Never,Mostly indoor,23-27,I feel fulfilled when I help someone break through a mental barrier holding them back,I would write books that help people understand and genuinely improve their mental health,People say I can read emotions and sense how someone is feeling without any words,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
